ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,Sport,Medal
1146,Ragna Agerup,F,21,168,NA,Norway,NOR,2016 Summer,2016,Summer,Sailing,NA
1162,Levon Aghasyan,M,21,193,75,Armenia,ARM,2016 Summer,2016,Summer,Athletics,NA
1173,Yannick Agnel,M,24,202,90,France,FRA,2016 Summer,2016,Summer,Swimming,NA
1195,Salvador Jos Milhazes Agra,M,24,168,70,Portugal,POR,2016 Summer,2016,Summer,Football,NA
1203,Renzo Pasquale Zeglio Agresta,M,31,181,76,Brazil,BRA,2016 Summer,2016,Summer,Fencing,NA
1213,Norisbeth Isais Agudo Gonzlez,F,24,163,55,Venezuela,VEN,2016 Summer,2016,Summer,Beach Volleyball,NA
1234,Alessandra Aguilar Morn,F,38,165,50,Spain,ESP,2016 Summer,2016,Summer,Athletics,NA
1242,Evelis Jazmin Aguilar Torres,F,23,173,64,Colombia,COL,2016 Summer,2016,Summer,Athletics,NA
1243,Felipe Aguilar Mendoza,M,23,191,72,Colombia,COL,2016 Summer,2016,Summer,Football,NA
1244,Felipe Aguilar Schler,M,41,170,72,Chile,CHI,2016 Summer,2016,Summer,Golf,NA
1247,Iaki Aguilar Vicente,M,32,189,82,Spain,ESP,2016 Summer,2016,Summer,Water Polo,NA
1254,Macarena Aguilar Daz,F,31,170,67,Spain,ESP,2016 Summer,2016,Summer,Handball,NA
1262,Sandra Aguilar Navarro,F,23,167,50,Spain,ESP,2016 Summer,2016,Summer,Rhythmic Gymnastics,Silver
1265,Yulenmis Aguilar Martnez,F,20,165,66,Cuba,CUB,2016 Summer,2016,Summer,Athletics,NA
1271,Tomas Alonso Aguilera Armendariz,M,27,202,95,Mexico,MEX,2016 Summer,2016,Summer,Volleyball,NA
1277,Carolina Aguirre Giraldo,F,20,160,59,Colombia,COL,2016 Summer,2016,Summer,Archery,NA
1277,Carolina Aguirre Giraldo,F,20,160,59,Colombia,COL,2016 Summer,2016,Summer,Archery,NA
1279,rick Germain Aguirre Tafolla,M,19,170,60,Mexico,MEX,2016 Summer,2016,Summer,Football,NA
1281,Gabriela Aguirre,F,30,164,58,Argentina,ARG,2016 Summer,2016,Summer,Hockey,NA
1290,Marcelo Vctor Aguirre,M,23,174,66,Paraguay,PAR,2016 Summer,2016,Summer,Table Tennis,NA
1301,Sri Wahyuni Agustiani,F,21,147,47,Indonesia,INA,2016 Summer,2016,Summer,Weightlifting,Silver
1320,Kelsie Ahbe,F,25,170,63,Canada,CAN,2016 Summer,2016,Summer,Athletics,NA
1356,Christian Ahlmann,M,41,189,80,Germany,GER,2016 Summer,2016,Summer,Equestrianism,NA
1356,Christian Ahlmann,M,41,189,80,Germany,GER,2016 Summer,2016,Summer,Equestrianism,Bronze
1374,Tontowi Ahmad,M,29,179,72,Indonesia-1,INA,2016 Summer,2016,Summer,Badminton,Gold
1377,Elaheh Ahmadi,F,34,160,62,Iran,IRI,2016 Summer,2016,Summer,Shooting,NA
1392,Esraa Ahmed El-Sayed,F,17,150,63,Egypt,EGY,2016 Summer,2016,Summer,Weightlifting,NA
1394,Ghofran Ahmed Zaki,M,23,192,68,Egypt,EGY,2016 Summer,2016,Summer,Taekwondo,NA
1405,Mohammed Ahmed,M,25,182,56,Canada,CAN,2016 Summer,2016,Summer,Athletics,NA
1405,Mohammed Ahmed,M,25,182,56,Canada,CAN,2016 Summer,2016,Summer,Athletics,NA
1413,Samia Mohamed Hagrass Ahmed,F,20,170,57,Egypt,EGY,2016 Summer,2016,Summer,Synchronized Swimming,NA
1413,Samia Mohamed Hagrass Ahmed,F,20,170,57,Egypt,EGY,2016 Summer,2016,Summer,Synchronized Swimming,NA
1421,Masbah Ahmmed,M,21,NA,NA,Bangladesh,BAN,2016 Summer,2016,Summer,Athletics,NA
1439,Murielle Ahour,F,28,165,58,Cote d'Ivoire,CIV,2016 Summer,2016,Summer,Athletics,NA
1439,Murielle Ahour,F,28,165,58,Cote d'Ivoire,CIV,2016 Summer,2016,Summer,Athletics,NA
1445,Gaby Diana Ahrens,F,35,169,60,Namibia,NAM,2016 Summer,2016,Summer,Shooting,NA
1451,Mohammad Ahsan,M,28,173,72,Indonesia,INA,2016 Summer,2016,Summer,Badminton,NA
1453,Nicole Ahsinger,F,18,163,58,United States,USA,2016 Summer,2016,Summer,Trampolining,NA
1462,Michelle-Lee Raquel Ahye,F,24,160,64,Trinidad and Tobago,TTO,2016 Summer,2016,Summer,Athletics,NA
1462,Michelle-Lee Raquel Ahye,F,24,160,64,Trinidad and Tobago,TTO,2016 Summer,2016,Summer,Athletics,NA
1462,Michelle-Lee Raquel Ahye,F,24,160,64,Trinidad and Tobago,TTO,2016 Summer,2016,Summer,Athletics,NA
1464,Ai Yanhan,F,14,168,54,China,CHN,2016 Summer,2016,Summer,Swimming,NA
1464,Ai Yanhan,F,14,168,54,China,CHN,2016 Summer,2016,Summer,Swimming,NA
1465,Jrmy Aicardi,M,27,178,83,France,FRA,2016 Summer,2016,Summer,Rugby Sevens,NA
1466,Matteo Aicardi,M,30,192,102,Italy,ITA,2016 Summer,2016,Summer,Water Polo,Bronze
1472,Vlad-Drago Aicoboae,M,22,197,91,Romania,ROU,2016 Summer,2016,Summer,Rowing,NA
1477,Neringa Aidietyt,F,33,177,60,Lithuania,LTU,2016 Summer,2016,Summer,Athletics,NA
1478,Rosaria Aiello,F,27,172,74,Italy,ITA,2016 Summer,2016,Summer,Water Polo,Silver
1481,Hannes Aigner,M,27,183,75,Germany,GER,2016 Summer,2016,Summer,Canoeing,NA
1488,Harry Leslie Aikines-Aryeetey,M,27,180,87,Great Britain,GBR,2016 Summer,2016,Summer,Athletics,NA
1502,Sophie Claire Ainsworth,F,27,173,68,Great Britain,GBR,2016 Summer,2016,Summer,Sailing,NA
1515,Saiyidah Aisyah Mohamed Rafa'ee,F,28,173,68,Singapore,SGP,2016 Summer,2016,Summer,Rowing,NA
1516,Rachid Ait Atmane,M,23,190,76,Algeria,ALG,2016 Summer,2016,Summer,Football,NA
1519,Anasse At El Abdia,M,23,180,66,Morocco,MAR,2016 Summer,2016,Summer,Cycling,NA
1525,Zied Ait Ouagram,M,27,191,75,Morocco,MAR,2016 Summer,2016,Summer,Wrestling,NA
1526,Samir At Sad,M,26,167,65,France,FRA,2016 Summer,2016,Summer,Gymnastics,NA
1526,Samir At Sad,M,26,167,65,France,FRA,2016 Summer,2016,Summer,Gymnastics,NA
1527,Souad At Salem (-Mahour-Bacha),F,37,158,50,Algeria,ALG,2016 Summer,2016,Summer,Athletics,NA
1548,Efe Ajagba,M,22,190,NA,Nigeria,NGR,2016 Summer,2016,Summer,Boxing,NA
1551,"Oluwafemi ""Junior"" Ajayi",M,20,172,79,Nigeria,NGR,2016 Summer,2016,Summer,Football,Bronze
1553,Astrit Ajdarevi,M,26,190,80,Sweden,SWE,2016 Summer,2016,Summer,Football,NA
1561,Mobolade Abimbola Ajomale,M,20,180,62,Canada,CAN,2016 Summer,2016,Summer,Athletics,Bronze
1575,Stella Akakpo,F,22,166,60,France,FRA,2016 Summer,2016,Summer,Athletics,NA
1599,Meryem (Mirriam Jepchirchir-) Akda (Mayo-),F,23,171,51,Turkey,TUR,2016 Summer,2016,Summer,Athletics,NA
1600,Tark Langat Akda,M,28,176,60,Turkey,TUR,2016 Summer,2016,Summer,Athletics,NA
1634,Taha Akgl,M,25,192,125,Turkey,TUR,2016 Summer,2016,Summer,Wrestling,Gold
1636,Svitlana Viktorivna Akhadova,F,23,170,69,Ukraine,UKR,2016 Summer,2016,Summer,Canoeing,NA
1645,Habibollah Jomeh Akhlaghi,M,31,175,90,Iran,IRI,2016 Summer,2016,Summer,Wrestling,NA
1647,Murodzhon Kakharovich Akhmadaliyev,M,21,165,56,Uzbekistan,UZB,2016 Summer,2016,Summer,Boxing,Bronze
1649,Artur Kamilevich Akhmatkhuzin,M,28,187,79,Russia,RUS,2016 Summer,2016,Summer,Fencing,NA
1649,Artur Kamilevich Akhmatkhuzin,M,28,187,79,Russia,RUS,2016 Summer,2016,Summer,Fencing,Gold
1682,Morolake Akinosun,F,22,163,61,United States,USA,2016 Summer,2016,Summer,Athletics,Gold
1683,Foluke Antinuke Akinradewo,F,28,191,79,United States,USA,2016 Summer,2016,Summer,Volleyball,Bronze
1687,Jonathan Akinyemi,M,27,188,85,Nigeria,NGR,2016 Summer,2016,Summer,Canoeing,NA
1692,Teruyoshi Akiyama,M,44,168,65,Japan,JPN,2016 Summer,2016,Summer,Shooting,NA
1696,Malika Al-Akkaoui,F,28,160,49,Morocco,MAR,2016 Summer,2016,Summer,Athletics,NA
1696,Malika Al-Akkaoui,F,28,160,49,Morocco,MAR,2016 Summer,2016,Summer,Athletics,NA
1697,Halil Akka,M,33,175,58,Turkey,TUR,2016 Summer,2016,Summer,Athletics,NA
1701,"Joshua Emmanuel ""Josh"" Akognon",M,30,189,83,Nigeria,NGR,2016 Summer,2016,Summer,Basketball,NA
1716,Daniel Akpeyi,M,30,187,80,Nigeria,NGR,2016 Summer,2016,Summer,Football,Bronze
