date,mean temperature,co2 (ppm)
2/6/1965,-0.17,320.44
1/6/1965,-0.09,319.44
12/6/1964,-0.3,318.71
11/6/1964,-0.21,317.68
10/6/1964,-0.3,316.87
9/6/1964,-0.28,316.71
8/6/1964,-0.2,318.69
7/6/1964,-0.07,320.44
6/6/1964,-0.07,321.89
5/6/1964,-0.25,322.26
4/6/1964,-0.3,
3/6/1964,-0.22,
2/6/1964,-0.12,
1/6/1964,-0.06,319.57
12/6/1963,0,318.35
11/6/1963,0.15,317.06
10/6/1963,0.15,315.99
9/6/1963,0.2,316.21
8/6/1963,0.25,317.77
7/6/1963,0.08,319.74
6/6/1963,0.03,321.48
5/6/1963,-0.09,322.25
4/6/1963,-0.05,321.39
3/6/1963,-0.13,319.86
2/6/1963,0.19,319.07
1/6/1963,-0.03,318.74
12/6/1962,-0.01,317.7
11/6/1962,0.06,316.69
10/6/1962,-0.03,315.42
9/6/1962,-0.01,316.25
8/6/1962,-0.02,317.4
7/6/1962,-0.02,319.61
6/6/1962,0.06,320.62
5/6/1962,-0.06,321.01
4/6/1962,0.05,320.57
3/6/1962,0.12,319.68
2/6/1962,0.14,318.55
1/6/1962,0.08,317.94
12/6/1961,-0.15,317.01
11/6/1961,0.03,316.1
10/6/1961,0,315.31
9/6/1961,0.05,314.99
8/6/1961,0.02,316.79
7/6/1961,-0.03,318.57
6/6/1961,0.12,319.77
5/6/1961,0.13,320.58
4/6/1961,0.15,319.48
3/6/1961,0.09,318.54
2/6/1961,0.18,317.7
1/6/1961,0.07,316.9
12/6/1960,0.18,316.19
11/6/1960,-0.11,315
10/6/1960,0.07,313.83
9/6/1960,0.05,314.17
8/6/1960,-0.01,315.9
7/6/1960,-0.02,318.18
6/6/1960,0.01,319.59
5/6/1960,-0.08,320.03
4/6/1960,-0.16,319.03
3/6/1960,-0.36,317.58
2/6/1960,0.14,316.97
1/6/1960,-0.01,316.43
12/6/1959,-0.03,315.58
11/6/1959,-0.09,314.81
10/6/1959,-0.09,313.34
9/6/1959,-0.06,313.84
8/6/1959,-0.01,314.8
7/6/1959,0.06,316.54
6/6/1959,0.02,318.15
5/6/1959,0.06,318.29
4/6/1959,0.16,317.72
3/6/1959,0.19,316.65
2/6/1959,0.09,316.48
1/6/1959,0.06,315.58
12/6/1958,0.01,314.67
11/6/1958,0.02,313.33
10/6/1958,0.04,
9/6/1958,-0.03,313.21
8/6/1958,-0.06,314.93
7/6/1958,0.06,315.86
6/6/1958,-0.05,
5/6/1958,0.08,317.5
4/6/1958,0.01,317.45
3/6/1958,0.1,315.69
2/6/1958,0.24,
1/6/1958,0.39,
12/6/1957,0.16,
11/6/1957,0.07,
10/6/1957,0.01,
9/6/1957,0.06,
8/6/1957,0.14,
7/6/1957,0.01,
6/6/1957,0.16,
5/6/1957,0.08,
4/6/1957,-0.04,
3/6/1957,-0.05,
2/6/1957,-0.05,
1/6/1957,-0.14,
12/6/1956,-0.1,
11/6/1956,-0.17,
10/6/1956,-0.24,
9/6/1956,-0.22,
8/6/1956,-0.25,
7/6/1956,-0.12,
6/6/1956,-0.15,
5/6/1956,-0.28,
4/6/1956,-0.26,
3/6/1956,-0.23,
2/6/1956,-0.25,
1/6/1956,-0.17,
12/6/1955,-0.32,
11/6/1955,-0.28,
10/6/1955,-0.05,
9/6/1955,-0.13,
8/6/1955,0.04,
7/6/1955,-0.09,
6/6/1955,-0.08,
5/6/1955,-0.2,
4/6/1955,-0.23,
3/6/1955,-0.36,
2/6/1955,-0.21,
1/6/1955,0.11,
12/6/1954,-0.18,
11/6/1954,0.08,
10/6/1954,-0.01,
9/6/1954,-0.07,
8/6/1954,-0.13,
7/6/1954,-0.16,
6/6/1954,-0.16,
5/6/1954,-0.2,
4/6/1954,-0.18,
3/6/1954,-0.12,
2/6/1954,-0.1,
1/6/1954,-0.28,
12/6/1953,0.03,
11/6/1953,-0.05,
10/6/1953,0.05,
9/6/1953,0.06,
8/6/1953,0.08,
7/6/1953,0.02,
6/6/1953,0.08,
5/6/1953,0.08,
4/6/1953,0.2,
3/6/1953,0.11,
2/6/1953,0.16,
1/6/1953,0.09,
12/6/1952,-0.02,
11/6/1952,-0.17,
10/6/1952,-0.04,
9/6/1952,0.08,
8/6/1952,0.07,
7/6/1952,0.05,
6/6/1952,-0.04,
5/6/1952,-0.05,
4/6/1952,0.02,
3/6/1952,-0.1,
2/6/1952,0.12,
1/6/1952,0.16,
12/6/1951,0.15,
11/6/1951,0,
10/6/1951,0.06,
9/6/1951,0.07,
8/6/1951,0.05,
7/6/1951,0,
6/6/1951,-0.05,
5/6/1951,-0.02,
4/6/1951,-0.1,
3/6/1951,-0.19,
2/6/1951,-0.44,
1/6/1951,-0.35,
12/6/1950,-0.2,
11/6/1950,-0.35,
10/6/1950,-0.2,
9/6/1950,-0.1,
8/6/1950,-0.18,
7/6/1950,-0.09,
6/6/1950,-0.06,
5/6/1950,-0.12,
4/6/1950,-0.21,
3/6/1950,-0.06,
2/6/1950,-0.26,
1/6/1950,-0.3,
12/6/1949,-0.19,
11/6/1949,-0.08,
10/6/1949,-0.03,
9/6/1949,-0.08,
8/6/1949,-0.08,
7/6/1949,-0.13,
6/6/1949,-0.22,
5/6/1949,-0.09,
4/6/1949,-0.07,
3/6/1949,-0.01,
2/6/1949,-0.16,
1/6/1949,0.09,
